Volcano,Country,Eruption Start Date,Last Known Activity
Karymsky,Russia,2025 Apr 30,2025 May 2 (continuing)
Bulusan,Philippines,2025 Apr 28,2025 May 2 (continuing)
Klyuchevskoy,Russia,2025 Apr 8,2025 May 2 (continuing)
Ulawun,Papua New Guinea,2025 Mar 27,2025 Apr 21 (continuing)
Atka Volcanic Complex,United States,2025 Feb 20,2025 May 2 (continuing)
Lewotolok,Indonesia,2025 Jan 16,2025 May 2 (continuing)
Telica,Nicaragua,2025 Jan 11,2025 May 2 (continuing)
Poas,Costa Rica,2025 Jan 5,2025 May 2 (continuing)
Bezymianny,Russia,2024 Dec 24,2025 May 2 (continuing)
Kilauea,United States,2024 Dec 23,2025 May 2 (continuing)
Home Reef,Tonga,2024 Dec 4,2025 May 2 (continuing)
Kanlaon,Philippines,2024 Oct 19,2025 May 2 (continuing)
Ahyi,United States,2024 Aug 5,2025 May 2 (continuing)
Whakaari/White Island,New Zealand,2024 May 24,2025 May 2 (continuing)
Lewotobi,Indonesia,2023 Dec 23,2025 May 2 (continuing)
Marapi,Indonesia,2023 Dec 3,2025 May 2 (continuing)
Etna,Italy,2022 Nov 27,2025 May 2 (continuing)
Great Sitkin,United States,2021 May 25,2025 May 2 (continuing)
Merapi,Indonesia,2020 Dec 31,2025 May 2 (continuing)
Sangay,Ecuador,2019 Mar 26,2025 May 2 (continuing)
Manam,Papua New Guinea,2018 May 10 ± 10 days,2025 May 2 (continuing)
Nyamulagira,DR Congo,2018 Apr 14,2025 May 2 (continuing)
Semeru,Indonesia,2017 Jun 6,2025 May 2 (continuing)
Ol Doinyo Lengai,Tanzania,2017 Apr 9,2025 Apr 29 (continuing)
Aira,Japan,2017 Mar 25,2025 May 2 (continuing)
Sabancaya,Peru,2016 Nov 6,2025 May 2 (continuing)
Langila,Papua New Guinea,2015 Oct 22 (?),2025 May 2 (continuing)
Masaya,Nicaragua,2015 Oct 3,2025 May 2 (continuing)
Tofua,Tonga,2015 Oct 2,2025 Apr 26 (continuing)
Villarrica,Chile,2014 Dec 2 ± 7 days,2025 Apr 19 (continuing)
Nevado del Ruiz,Colombia,2014 Nov 18,2025 May 2 (continuing)
Saunders,United Kingdom,2014 Nov 12,2025 Apr 29 (continuing)
Heard,Australia,2012 Sep 5 ± 4 days,2025 Apr 4 (continuing)
Reventador,Ecuador,2008 Jul 27,2025 May 2 (continuing)
Ibu,Indonesia,2008 Apr 5,2025 May 2 (continuing)
Popocatepetl,Mexico,2005 Jan 9,2025 May 2 (continuing)
Suwanosejima,Japan,2004 Oct 23,2025 May 2 (continuing)
Nyiragongo,DR Congo,2002 May 17 (?),2025 May 1 (continuing)
Fuego,Guatemala,2002 Jan 4,2025 May 2 (continuing)
Bagana,Papua New Guinea,2000 Feb 28,2025 Apr 8 (continuing)
Sheveluch,Russia,1999 Aug 15,2025 May 2 (continuing)
Erebus,Antarctica,1972 Dec 16 (on or before) ± 15 days,2025 Mar 16 (continuing)
Erta Ale,Ethiopia,1967 Jul 2 ± 182 days,2025 May 2 (continuing)
Stromboli,Italy,1934 Feb 2,2025 May 2 (continuing)
Dukono,Indonesia,1933 Aug 13,2025 May 2 (continuing)
Santa Maria,Guatemala,1922 Jun 22,2025 May 2 (continuing)
Yasur,Vanuatu,1270 ± 110 years,2025 May 2 (continuing)
